Alapanyag neve,Elsődleges kategória,Másodlagos kategória,Fehérje,Zsír,Szénhidrát,Víz,Foszfor,Magnézium,Nátrium,Kalcium,B6 vitamin,Kolin,Niacin - B3 vitamin,C vitamin,Telített zsírsav,Többszörösen telített zsírsav,Vas,Cink,Réz,Mangán,Szelén,Rost,Cukor,Tiamin - B1 vitamin,Riboflavin - B2 vitamin,Pantoténsav - B5 vitamin,Folát,E vitamin,D vitamin,B12 vitamin,Egyszeresen telített zsírsav,Béta-karotin,Lutein+zeaxantin,K vitamin,A vitamin,Likopin,Alfa-karotin,Béta-kriptoxantin,koleszterin,Retinol,Folsav
vargánya gomba,gombák,erdei gomba,3.09,0.21,3.26,92.45,0.086,0.009,0.005,0.003,0.104,0.0173,0.0036070000000000004,0.0021000000000000003,0.05,0.16,0.0005,0.0005200000000000001,0.00031800000000000003,4.7e-05,9.3,1.0,1.98,8.1e-05,0.000402,0.001497,17.0,1e-05,7.0,0.04,,,,,,,,,,,
áfonya,gyümölcsök,bogyós gyümölcs,0.74,0.221,14.49,84.21,0.012,0.006,0.001,0.006,0.052,0.006,0.00041799999999999997,0.009699999999999999,0.028,0.146,0.00028000000000000003,0.00016,5.7e-05,0.00033600000000000004,0.1,2.4,9.96,3.7e-05,4.1e-05,0.000124,6.0,0.00057,,,0.047,32.0,80.0,19.3,3.0,,,,,,
vöröskáposzta,zöldségek,káposztafélék,1.43,0.113,7.37,90.39,0.03,0.016,0.027,0.045,0.209,0.0171,0.00041799999999999997,0.057,0.021,0.08,0.0008,0.00022,1.7e-05,0.000243,0.6,2.1,3.83,6.4e-05,6.900000000000001e-05,0.000147,18.0,0.00011,,,0.012,670.0,329.0,38.2,56.0,20.0,,,,,
citrom,gyümölcsök,déli gyümölcs,1.1,0.139,9.32,88.98,0.016,0.008,0.002,0.026,0.08,0.0050999999999999995,0.0001,0.053,0.039,0.089,0.0006,5.9999999999999995e-05,3.7e-05,2.9999999999999997e-05,0.4,2.8,2.5,4e-05,2e-05,0.00019,11.0,0.00015,,,0.011,3.0,11.0,,1.0,,1.0,20.0,,,
sárgarépa,zöldségek,gyökérzöldség,0.93,0.146,9.58,88.29,0.035,0.012,0.069,0.033,0.138,0.0088,0.000983,0.005900000000000001,0.032,0.102,0.0003,0.00023999999999999998,4.4999999999999996e-05,0.00014299999999999998,0.1,2.8,4.74,6.6e-05,5.8e-05,0.000273,19.0,0.00066,,,0.012,8285.0,256.0,13.2,835.0,1.0,3477.0,,,,
dió,gyümölcsök,diófélék,15.23,62.233,13.71,4.07,0.346,0.158,0.002,0.098,0.537,0.039200000000000006,0.001125,0.0013,6.126,47.174,0.0029100000000000003,0.00309,0.0015860000000000002,0.003414,4.9,6.7,2.61,0.00034100000000000005,0.00015,0.00057,98.0,0.0007,,,8.933,12.0,9.0,2.7,1.0,,,,,,
fokhagyma,zöldségek,hagymaféle,6.36,0.349,33.06,58.58,0.153,0.025,0.017,0.181,1.235,0.0232,0.0007,0.0312,0.089,0.249,0.0017,0.00116,0.000299,0.0016719999999999999,14.2,2.1,1.0,0.0002,0.00011,0.000596,3.0,8e-05,,,0.011,5.0,16.0,1.7,,,,,,,
vöröshagyma,zöldségek,hagymaféle,1.1,0.072,9.34,89.11,0.029,0.01,0.004,0.023,0.12,0.0060999999999999995,0.000116,0.0074,0.042,0.017,0.00020999999999999998,0.00017,3.9e-05,0.000129,0.5,1.7,4.24,4.6e-05,2.7e-05,0.000123,19.0,2e-05,,,0.013,1.0,4.0,0.4,,,,,,,
rozmaring,ízesítők,friss fűszernövény,3.31,4.899,20.7,67.77,0.066,0.091,0.026,0.317,0.336,,0.000912,0.0218,2.838,0.901,0.0066500000000000005,0.00093,0.000301,0.0009599999999999999,,14.1,,3.5999999999999994e-05,0.000152,0.000804,109.0,,,,1.16,,,,146.0,,,,,,
cukkini,zöldségek,"tök, spárga",1.21,0.186,3.11,94.79,0.038,0.018,0.008,0.016,0.163,0.0095,0.000451,0.0179,0.084,0.091,0.00037,0.00032,5.3e-05,0.000177,0.2,1.0,2.5,4.4999999999999996e-05,9.4e-05,0.000204,24.0,0.00011999999999999999,,,0.011,120.0,2125.0,4.3,10.0,,,,,,
