Alapanyag neve,Elsődleges kategória,Másodlagos kategória,Foszfor,Magnézium,Nátrium,Kalcium,B6 vitamin,Kolin,Niacin - B3 vitamin,C vitamin,fehérje,telített zsírsav,többszörösen telített zsírsav,Vas,Cink,Réz,Mangán,Szelén,rost,cukor,víz,Tiamin - B1 vitamin,Riboflavin - B2 vitamin,Pantoténsav - B5 vitamin,Folát,E vitamin,D vitamin,B12 vitamin,egyszeresen telített zsírsav,Béta-karotin,Lutein+zeaxantin,K vitamin,A vitamin,Likopin,Alfa-karotin,Béta-kriptoxantin,koleszterin,Retinol,Folsav
vargánya gomba,gombák,erdei gomba,0.086,0.009,0.005,0.003,0.104,0.0173,0.0036070000000000004,0.0021000000000000003,3.09,0.05,0.16,0.0005,0.0005200000000000001,0.00031800000000000003,4.7e-05,9.3e-06,1.0,1.98,92.45,8.1e-05,0.000402,0.001497,1.7e-05,1e-05,7e-06,4e-08,,,,,,,,,,,
áfonya,gyümölcsök,bogyós gyümölcs,0.012,0.006,0.001,0.006,0.052,0.006,0.00041799999999999997,0.009699999999999999,0.74,0.028,0.146,0.00028000000000000003,0.00016,5.7e-05,0.00033600000000000004,1.0000000000000001e-07,2.4,9.96,84.21,3.7e-05,4.1e-05,0.000124,6e-06,0.00057,,,0.047,3.2e-05,8e-05,1.93e-05,3e-06,,,,,,
vöröskáposzta,zöldségek,káposztafélék,0.03,0.016,0.027,0.045,0.209,0.0171,0.00041799999999999997,0.057,1.43,0.021,0.08,0.0008,0.00022,1.7e-05,0.000243,6e-07,2.1,3.83,90.39,6.4e-05,6.900000000000001e-05,0.000147,1.8e-05,0.00011,,,0.012,0.00067,0.000329,3.82e-05,5.6e-05,2e-05,,,,,
citrom,gyümölcsök,déli gyümölcs,0.016,0.008,0.002,0.026,0.08,0.0050999999999999995,0.0001,0.053,1.1,0.039,0.089,0.0006,5.9999999999999995e-05,3.7e-05,2.9999999999999997e-05,4.0000000000000003e-07,2.8,2.5,88.98,4e-05,2e-05,0.00019,1.1e-05,0.00015,,,0.011,3e-06,1.1e-05,,1e-06,,1e-06,2e-05,,,
sárgarépa,zöldségek,gyökérzöldség,0.035,0.012,0.069,0.033,0.138,0.0088,0.000983,0.005900000000000001,0.93,0.032,0.102,0.0003,0.00023999999999999998,4.4999999999999996e-05,0.00014299999999999998,1.0000000000000001e-07,2.8,4.74,88.29,6.6e-05,5.8e-05,0.000273,1.9e-05,0.00066,,,0.012,0.008285,0.000256,1.3199999999999999e-05,0.000835,1e-06,0.003477,,,,
dió,gyümölcsök,diófélék,0.346,0.158,0.002,0.098,0.537,0.039200000000000006,0.001125,0.0013,15.23,6.126,47.174,0.0029100000000000003,0.00309,0.0015860000000000002,0.003414,4.9000000000000005e-06,6.7,2.61,4.07,0.00034100000000000005,0.00015,0.00057,9.8e-05,0.0007,,,8.933,1.2e-05,9e-06,2.7e-06,1e-06,,,,,,
fokhagyma,zöldségek,hagymaféle,0.153,0.025,0.017,0.181,1.235,0.0232,0.0007,0.0312,6.36,0.089,0.249,0.0017,0.00116,0.000299,0.0016719999999999999,1.42e-05,2.1,1.0,58.58,0.0002,0.00011,0.000596,3e-06,8e-05,,,0.011,5e-06,1.6e-05,1.7e-06,,,,,,,
vöröshagyma,zöldségek,hagymaféle,0.029,0.01,0.004,0.023,0.12,0.0060999999999999995,0.000116,0.0074,1.1,0.042,0.017,0.00020999999999999998,0.00017,3.9e-05,0.000129,5e-07,1.7,4.24,89.11,4.6e-05,2.7e-05,0.000123,1.9e-05,2e-05,,,0.013,1e-06,4e-06,4.0000000000000003e-07,,,,,,,
rozmaring,ízesítők,friss fűszernövény,0.066,0.091,0.026,0.317,0.336,,0.000912,0.0218,3.31,2.838,0.901,0.0066500000000000005,0.00093,0.000301,0.0009599999999999999,,14.1,,67.77,3.5999999999999994e-05,0.000152,0.000804,0.000109,,,,1.16,,,,0.000146,,,,,,
cukkini,zöldségek,"tök, spárga",0.038,0.018,0.008,0.016,0.163,0.0095,0.000451,0.0179,1.21,0.084,0.091,0.00037,0.00032,5.3e-05,0.000177,2.0000000000000002e-07,1.0,2.5,94.79,4.4999999999999996e-05,9.4e-05,0.000204,2.4e-05,0.00011999999999999999,,,0.011,0.00012,0.002125,4.2999999999999995e-06,1e-05,,,,,,
